Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
Js,9d,Th,Ad,4d,0
3h,4c,Ts,Tc,Ad,1
9h,3s,2c,Kh,Ad,0
Qc,Jh,3h,Ac,9c,0
Ks,3h,9h,Js,8h,0
6d,4s,Qh,9c,3c,0
Kh,Qd,2s,5h,8d,0
2c,2h,8s,8d,5d,2
5h,4c,Ts,6d,9c,4
9h,9c,Ad,9s,5s,3
3h,Qc,6c,6h,Ac,1
Qh,4c,4s,8s,Td,1
Js,7h,Jd,9h,Ks,1
3d,2s,Js,9h,9c,1
4s,7s,4d,Ad,5h,1
2c,As,Jd,9h,2s,1
7s,Qc,7d,Kh,Qs,2
4c,9c,6d,2s,7d,0
As,6d,6h,Kd,3c,1
5d,Qs,Th,6c,9c,4
6c,Kd,4d,5h,7c,0
7c,2s,9h,2d,8h,1
Jh,Qc,Th,4d,2s,0
Qh,2h,9h,Kc,3c,0
9d,5s,Qs,Ts,8s,0
Ah,9d,5d,8c,6h,0
As,9s,8h,Jh,Th,0
Jd,Qh,Ah,7d,4h,0
7s,Th,Kd,Js,9s,0
Jc,6s,Ad,Qh,Ks,0
Kh,Ac,7c,Ts,5h,0
8c,Ac,7h,9h,5h,0
4d,As,6s,3c,8c,4
5d,5s,8d,Kh,6h,1
Tc,4h,2h,9s,Kc,0
5h,Ad,Kc,9c,2s,0
Ts,4s,4h,5d,Kd,1
Kd,Ah,3d,5s,6h,0
Jd,Ah,Kc,6c,Ks,1
Tc,9c,8d,Ac,Jh,0
5s,Ts,6d,7d,Jc,0
6s,7c,5h,2d,Kh,0
9s,6s,2s,Ks,4d,0
4c,9d,Ah,6c,6d,1
2d,Kc,5s,3s,8s,0
8c,Kh,Td,3h,7d,0
7d,Ks,Jh,Tc,4s,0
Td,5c,6h,2d,3c,0
3s,5s,9s,Ac,2h,0
7s,Qc,Td,7c,3h,1
9h,Qc,9c,4c,5d,1
2d,Ts,Jc,Qh,Js,1
2c,As,Js,4c,Ks,0
Qc,Tc,8s,Qh,9d,1
Kh,8d,Td,Qs,Kd,1
6h,8s,7c,4h,Kd,0
6d,2c,Ad,9h,7h,0
6d,Kc,Qs,Td,Ks,1
Qs,6h,4c,7s,As,0
Jh,6h,Td,8c,5s,0
Kc,7d,8c,7c,2s,1
4d,8d,2d,9d,7c,0
7d,Ah,Ks,2c,Kc,1
Th,Kh,8d,6h,6c,1
6c,Kc,7d,9d,3c,0
6d,5h,Td,7c,As,0
3d,2h,Td,Ad,4s,0
6d,Kc,Ts,9h,Th,1
As,3d,Qc,2s,5h,0
Jh,2d,6h,Ah,4d,0
Qh,Ac,As,Jc,2s,1
2d,9c,Jc,3s,2s,1
6d,9s,5d,Qh,Jc,0
Kc,Kd,3d,Ks,6d,3
Ks,Kh,6h,Qh,Ac,1
6h,7d,Tc,As,4s,0
As,8d,Ad,Td,6c,1
Jd,2s,8c,Ac,Qc,0
Ad,Qh,7s,Tc,3s,0
9d,5d,9h,8c,7h,1
Td,6s,2d,Ac,6c,1
2h,8s,Kh,2d,7d,1
9h,5s,Jh,Kc,8h,0
8s,Jc,Ad,Kh,6h,0
Ad,9s,Ts,2s,6c,0
Ad,3s,3c,Ac,7c,2
3d,4s,8d,5h,Ah,4
Td,6s,2h,5c,Ts,1
Jd,9s,Jc,9d,Ac,2
2s,4d,Th,5h,Jc,0
Qc,9s,Td,5d,9d,1
3s,8h,9d,9c,6d,1
Kc,7h,4c,Qs,5s,0
5c,Th,7c,4h,Jc,0
Kd,6c,5c,8s,6s,1
Qs,Ah,Jh,7s,2h,0
9s,Qc,4d,6h,7s,0
3c,4c,7c,Kd,Jh,0
Th,Js,Ac,Kh,As,1
3c,Qs,2h,7h,8c,0
7d,Ts,3c,6h,Kd,0
Qh,Ts,Td,As,Ad,2
3d,6h,8s,4c,Kc,0
Ac,Th,7h,8c,Kh,0
9d,Ts,8s,7h,5c,0
Qs,4c,Qc,4d,Ah,2
Ac,2s,Ah,5c,Kc,1
Ah,5s,4c,3c,Kc,0
Jh,Jd,Qh,7s,7h,2
Qh,6c,4d,6s,Tc,1
9c,4h,Jd,Qs,6c,0
4s,Kd,Qs,5s,7h,0
Kh,7d,9s,Kc,Qs,1
5s,Jh,Ad,2d,9d,4
Js,8h,3h,Th,Ac,0
4d,Ac,Js,4s,Kh,1
6s,Ks,5s,Jh,4s,0
4d,3d,Ks,2h,7c,0
Jc,5d,Jd,5h,Qh,2
3d,As,Kd,Qs,8h,0
Jd,2s,7h,Ah,6s,0
7d,Th,2d,Ts,9d,1
4s,7d,2s,6c,9c,0
Jd,Qh,4c,5h,7c,0
8h,Td,4d,3s,Tc,1
Qd,Ah,8h,7c,9d,0
7c,Qs,Th,Ad,Td,1
5d,4s,5h,Js,2d,1
Th,3s,Ts,Jh,4h,1
As,9d,5d,Qs,4s,0
Kc,2s,8h,8d,3d,1
Kd,Qd,Jc,Jh,2c,1
2c,7c,Qh,6s,9d,0
4c,Jd,6h,5h,Td,0
3d,8s,Kd,7d,9c,0
4c,8s,Ts,4d,5c,1
Kd,4s,6d,Kc,Jc,1
Jh,Qd,7h,7d,Tc,1
Ac,As,5s,Tc,2d,1
3d,7d,4d,Qh,8c,0
Qh,7h,Ad,Kd,2s,0
4s,4d,5h,6h,Ah,1
2s,4d,Ks,3h,Qd,0
6d,Tc,7c,3d,5s,0
8h,7d,Ks,3s,9d,0
8h,6h,Td,5h,5d,1
Qs,8h,Ac,3c,Kc,0
Qs,Qc,Kc,Ad,7d,1
Ad,Jd,7h,8s,6c,0
7c,2s,7h,Qs,5c,1
4c,Jd,2s,9h,6h,0
4d,6h,Kd,5d,3d,0
2s,3h,8c,4s,Jd,0
5d,3c,7h,Js,6s,0
Ad,Jh,9s,7c,Js,1
9c,As,2s,Qs,Kh,4
4h,Th,5h,9s,4s,1
Ac,7h,9c,8c,As,1
7s,8s,6h,2s,9h,0
6c,Ah,Ad,As,4s,3
Qs,Jh,6h,Td,Qd,1
9s,5d,Th,Kc,2s,0
7h,6s,Qc,7c,Qs,2
7c,Js,9h,Qh,Ac,0
9h,7d,5s,3h,4h,0
Ts,Ks,5d,Qh,Ad,4
Th,Kd,9d,8c,Ks,1
Ah,3c,Kc,6h,2c,0
6d,3d,Qd,Td,6s,1
Tc,5d,Th,Ts,3c,3
Qc,6c,9h,4d,6h,1
7h,9s,3h,Qh,Ks,0
As,Jd,7h,Qd,Qc,1
3h,Qh,2h,Ad,7c,4
Td,4d,3d,7c,Qs,0
Kh,2c,4d,2s,Kd,2
Td,Th,2c,2s,Kd,2
Ks,3h,Ah,5h,Jc,0
4c,8s,5h,Kh,Ad,0
Js,8h,2c,Ad,4c,0
Qc,2s,Qh,6d,9h,1
Qh,Td,3s,8h,9s,0
8d,3d,Ah,Kd,5s,0
Js,Tc,8h,6h,5s,0
3s,Jh,5c,2h,9c,0
3c,4h,2s,9d,3s,1
Js,Ac,7c,Kh,Jh,1
8h,5s,3s,6h,Td,0
3c,9c,9d,Qc,Ks,1
Ts,7c,8h,9h,5c,0
6d,Jh,3d,Ah,8c,0
8s,3c,Qc,7s,4d,0
7h,Th,Ah,Ac,7s,2
6c,2c,3h,4c,Jd,0
Td,6h,Ac,3c,Js,0
Ac,9c,2s,7d,Ts,0
8d,Qc,3h,9h,9c,1
7d,Ah,2s,3d,Qd,0
2c,Ks,Ts,9s,8h,0
Ks,3d,Tc,7s,9c,0
Js,Jc,4c,7c,Kc,1
5h,3d,6s,7d,Tc,0
8c,8h,4d,4c,7h,2
6s,8c,Ad,As,4h,1
3s,9h,7h,7d,2c,1
7c,Qc,Kd,Ac,Js,4
Kd,3d,9c,3c,Ts,1
2d,Qs,3s,4h,8h,0
5d,Jc,9d,3s,5c,1
Qs,Kh,4d,5d,Tc,0
9d,6d,4s,Qd,9c,1
9s,As,2s,Qc,Jh,0
Jc,2d,9d,Js,5c,1
Jd,5d,Jh,6s,2c,1
2h,4d,Ah,2d,Ad,2
Jh,Kc,3d,2d,6c,0
Kd,4h,9s,3c,Qd,0
3s,2s,8s,8c,6s,1
3s,7s,Kc,9d,5c,0
4h,5d,Qd,Qs,5h,2
Ac,5c,5s,2s,8c,1
3h,Kh,Jh,Kd,5c,1
4s,3h,Ac,Ad,7s,1
Qd,9h,7s,6h,7c,1
Kd,4s,7c,9d,6c,0
7c,5h,7h,2s,Th,1
3c,Tc,8c,Kh,Qh,0
3c,3h,2h,4s,6c,1
8h,9h,Qh,4d,7d,0
4d,Th,5d,Qh,2d,0
3h,Th,5s,2c,4h,0
6h,4s,2c,5s,Ad,4
8d,4c,As,Td,9h,0
Kc,Ks,6c,Th,Kd,3
Td,3h,Jd,4h,Th,1
3d,5c,Kd,Kc,2h,1
5d,4d,6c,Qs,Jd,0
Js,4d,Qc,7c,Jc,1
Jd,4d,As,Jh,4c,2
8d,Qd,7d,3h,5c,0
Kc,3s,Qc,6c,Ts,0
Kd,8h,9d,9c,5s,1
7s,2h,7c,Kh,Ts,1
4c,2d,3h,Qd,6d,0
7d,5d,7h,4s,9c,1
4d,5h,3c,8d,7h,0
6s,9d,3d,8s,5s,0
4h,5d,7s,Jd,Ts,0
8d,Ad,Jc,Qc,6h,0
Ts,Ah,5h,5s,6s,1
5s,3d,3h,6h,9h,1
5c,6d,6c,Tc,9c,1
3s,7c,5c,3h,Qc,1
3s,8d,8h,5s,Ah,1
Qc,6h,4c,Kc,8s,0
2c,Tc,6c,Ks,4d,0
7d,5d,6d,Jd,7h,1
9s,Ks,Qc,Jh,Ts,0
5c,Kd,Qh,6d,2h,0
Qs,9d,7d,9h,6s,1
3d,9h,Qd,5s,8h,0
3c,8d,7s,7c,Ts,1
Qh,3c,Jh,7h,4s,0
9h,4h,3h,Qd,Tc,0
9c,7c,Jc,Ts,2h,0
Ah,4h,Kh,7d,Ts,0
9d,8c,As,Ks,4c,0
8s,8c,5s,4d,9c,1
Jd,8s,Jh,Td,Tc,2
Jc,8s,8h,Ts,6d,1
7c,Kh,9h,7h,8c,1
Ks,2c,9d,8d,5c,0
7h,Ts,As,Js,2d,0
Jc,5s,8s,Qs,Th,0
7h,6s,Qd,Qs,Ac,1
Td,3c,2h,3h,As,1
7d,Ac,Ks,7c,2d,1
5d,4h,Qh,2s,Jc,0
Kc,Qs,Qc,9s,2h,1
4d,Kc,Tc,9c,3s,0
2h,9h,Tc,5d,4s,0
3c,Qh,8c,8s,6s,1
2h,9h,7c,Qd,Js,0
9s,5d,As,Qs,8h,0
2d,4c,Ad,Jh,Kd,0
Qc,Th,9s,3h,2d,0
5s,Jh,Th,4h,Td,1
Kh,Jh,8d,Qh,4c,0
3d,3h,Ts,6d,Kd,1
7h,Ts,2d,Kc,Ks,1
3s,6s,Js,6c,As,1
4s,Jc,6d,2s,Js,1
4s,8c,8h,3c,4d,2
Td,7s,6s,8d,Kh,0
8d,6c,Ks,7h,5c,0
Kc,3s,6h,9s,7d,0
Jh,9d,4h,8c,9h,1
6s,6c,3h,Js,Ks,1
2d,5s,Jd,Jh,9d,1
3c,Ad,4d,Kh,7h,4
7d,Ad,6c,Qh,9c,0
Jd,5d,6s,4d,3c,0
3c,8s,2h,5d,Ts,0
Jh,Ac,Ts,5d,3c,0
4s,4h,Ad,3s,Td,1
4d,8h,Kd,9s,Ah,0
7c,9h,Ts,Ah,8s,0
6h,Ks,7s,2s,Jh,0
3h,6h,Ah,5s,3d,1
Qc,4c,5d,Qs,Jc,1
Qd,6d,6c,5c,3h,1
6c,9d,Td,8c,Js,0
8h,9c,9h,2h,Kd,1
Qs,2s,2c,8h,6d,1
Kc,Js,4h,3s,Jd,1
3c,3s,7h,5d,Qh,1
6d,8s,7c,8d,Js,1
Ac,2s,3h,8c,3s,1
Ad,3h,Ah,Ts,4h,1
4c,2d,Ts,7d,Td,1
3s,Tc,Qc,4h,2s,0
7d,As,Kh,9c,6s,0
6d,8d,Ac,Qs,Ks,0
Ah,2s,Ts,8s,4d,0
3d,As,Th,Jh,5c,0
9h,2c,3h,6s,Kc,4
Ts,3c,Ks,3h,2c,1
8h,As,Ks,Jd,Tc,0
4c,Td,Th,6h,8s,1
2d,As,3c,4d,5c,0
5s,Jc,Qs,Qc,3d,1
3d,2s,3c,3h,Th,3
Th,9d,As,Td,6s,1
9c,2c,As,3d,6c,0
Th,Js,5c,9s,2h,0
Qc,Ac,5c,Tc,Th,1
2h,8c,Qc,Qd,8s,2
Ts,4s,3s,9h,4h,1
4d,7c,9d,2d,3c,0
Qc,9s,5s,6d,Ac,0
Ah,9c,8s,Js,Qc,0
Qc,Ks,9s,7c,2s,0
6d,Kc,2d,4h,3h,0
5d,As,7s,9h,Kd,0
Ac,8s,Ad,7d,2c,1
8c,Kc,5h,Kd,Ad,1
7c,Ah,3s,3h,Jh,1
Th,Js,3d,7s,Qh,0
4d,Jc,4h,Qs,Qh,2
Js,2s,6d,4s,6h,1
5c,6s,Js,8s,4d,0
8d,Jh,6c,2c,Tc,0
Qc,Js,4d,Qs,4c,2
Kc,9d,3h,2h,5c,0
2d,6c,9h,7h,Qh,0
7d,Kd,4s,5c,8h,0
4h,6c,6s,Qc,5h,1
7c,5c,4c,2h,9h,0
As,Jh,3h,4h,Qh,0
4d,2s,Ts,8s,8d,1
3s,Ac,6s,Kc,5h,0
8h,Jh,7h,7c,5h,1
6d,Ts,8h,4h,Ac,0
9d,Jc,Tc,Qd,3s,0
5s,3h,5c,6s,7h,1
2c,6d,7d,Tc,Kc,0
2c,Qh,3h,5c,8c,0
Tc,4s,Kh,5s,Th,1
9s,8h,Kh,2c,Jc,0
2h,8h,Js,8s,7h,1
2c,6h,9s,9c,3c,1
Kc,3c,Qh,7d,9s,0
4s,2c,Ac,Kc,4d,1
2c,4c,9h,5s,Td,0
4d,7d,5d,6s,9s,0
8c,4d,6s,Kd,8h,1
6c,3c,Ac,7c,2s,0
9s,9c,7d,Ts,4s,1
7h,5c,3c,7d,5h,2
3d,8h,Qs,Kc,9d,0
Kh,8c,4d,9h,2c,0
7h,Js,Td,Kc,Tc,1
3c,Ks,Kd,Ac,Ah,2
Tc,6d,Jc,8s,8h,1
Td,6c,4s,Ad,6d,1
5c,9h,9s,Ad,9d,3
Qh,3c,2d,9s,As,0
9h,2c,Ts,2s,Kh,1
2d,4s,8s,2c,8h,2
2c,Ks,Kh,Jd,5c,1
Ac,Qh,Qd,Jc,Ad,2
6d,4d,4c,5s,8d,1
Qd,Ah,8s,Tc,As,1
3s,2c,Kc,Jc,3d,1
6s,Tc,9c,As,8h,0
Ah,4d,Jd,8s,3s,0
Th,Ad,5c,Ks,6c,0
5h,6c,Ad,Ks,Ah,1
3d,5s,4s,9c,Qs,0
9d,Jh,2d,Tc,Ad,0
4d,3h,Ac,7d,8h,4
5h,7c,5d,2h,8s,1
Th,Tc,3d,Js,7h,1
Qh,5c,3d,As,4d,0
3s,Qs,5d,9d,Ac,0
2d,8d,Ad,5s,Ac,1
2s,8s,9h,7h,Ts,0
5c,Qd,4d,6d,7s,0
Jc,6s,9d,4d,Kc,0
Ks,Ac,4c,Tc,3h,0
Qd,6h,6s,9c,Td,1
Kd,2h,6c,Qd,Qc,1
4h,9d,Td,6d,8h,4
9s,Th,5s,5h,4d,1
3c,Kh,4d,Qc,7c,4
Jd,2d,8d,2c,2h,3
Ad,Th,5d,Kd,7c,0
9s,Ts,7c,4s,7d,1
Qs,6h,8h,Ah,6c,1
Jd,8s,Qh,6h,3d,0
Tc,2s,Ah,Ac,2h,2
Qc,Qs,3c,Th,7d,1
9c,4d,As,Jc,Qd,0
4c,Ah,2c,Kd,5s,0
Ac,Tc,7c,7d,Qh,1
Td,3s,9d,Jd,Th,1
6s,As,3s,Qd,4h,0
Qd,3d,Kd,Kh,4c,1
8d,Ac,8h,Qh,Kd,1
Ac,Jc,Js,8c,3s,1
3d,Ts,4h,8s,9s,0
Ac,Qs,2c,5c,8d,0
2h,Ks,Jc,Kc,3c,1
9s,Ts,4d,Qc,Qh,1
Kc,Kd,9s,2s,3s,1
6d,As,8s,6h,6s,3
3d,Ad,9s,6d,Td,0
Ks,Kd,9c,3d,Qh,1
3s,Jd,Qs,Jh,5h,1
2c,Kh,6c,7d,3d,0
Td,Ts,Ks,Ah,Jd,1
4h,4c,4d,2s,2c,6
2h,4d,8s,9h,3c,0
6h,7s,4d,8h,Ac,0
Ah,8d,Ac,Qh,2c,1
Kd,Jc,2h,Tc,Ac,0
Ah,9s,4s,7s,Th,0
8s,Qd,8d,Js,9h,1
2s,Kh,2d,Jc,Jh,2
7h,Js,2d,As,Ad,1
3s,8h,5s,Kc,Jc,0
6d,8c,Kh,3h,Ah,0
Ah,Kh,8c,Kd,7h,1
5s,Jd,Jh,Qd,4d,1
8c,Qd,7s,Qs,7d,2
2d,Ah,Ad,Qh,Kh,1
8c,Jh,Th,Qc,9h,0
Jc,Ad,4s,3s,5c,0
5h,Th,6d,8c,Tc,1
Qd,Jd,Ah,Tc,9d,0
Qs,8c,Ts,8s,7c,1
Ad,Ks,9h,4s,Jc,0
Qs,8c,Ah,9c,3c,0
3c,6d,As,9c,7d,4
9s,Qs,Qc,6s,4h,1
Qd,5s,9c,5c,Qs,2
3c,3s,9d,Qh,Js,1
9h,8d,6c,3h,7d,0
7d,4h,7c,3c,5h,1
8d,4s,8c,Kd,Js,1
6s,9h,Ts,Qh,2d,0
Qd,9s,Kd,7h,Jc,0
7h,2h,Ac,Ad,6d,1
9h,Ac,Ks,Js,4s,0
6s,7d,2c,Jd,Tc,4
2h,Qd,9s,Ah,9d,1
3c,Qc,Th,Qs,6s,1
Ad,Qd,6d,Jc,Kd,0
6d,8h,2d,7h,3s,0
Ad,7d,Jc,3s,7h,1
2s,7h,Qd,6h,Qh,1
Ad,Jc,5h,Ks,Qd,0
Ac,8s,9c,5s,6s,0
7c,3c,5s,Ah,Qc,0
3c,Qc,4d,8c,3s,1
3d,4c,Ah,Jd,4s,1
6d,Qc,6h,Jh,Ts,1
4s,Ks,Qc,Tc,5h,0
8d,2h,2s,6h,Qh,1
Jd,6s,Tc,Js,7d,1
8d,9s,Js,9h,9c,3
2s,Td,5s,7d,5d,1
9d,Qh,9s,2s,9c,3
9h,6s,4s,2h,7c,0
Jd,2h,Ah,5d,5s,1
6d,Jd,5d,4c,8h,0
6c,Kh,5s,6d,4d,1
4d,3c,As,Js,4c,1
6c,Ah,As,4h,9c,1
2c,Jd,2d,5d,2s,3
Js,Tc,Qd,Kc,7c,0
Qc,9c,8d,9h,Qs,2
As,4s,4c,4h,6c,3
Jd,9d,2s,Kd,3d,0
4h,Jd,6c,Kh,4c,1
Ts,8c,9c,4c,2h,0
7d,5s,Ac,3c,5d,1
8c,Kd,4c,2s,7d,0
6c,6h,8s,7c,Th,1
9h,Qs,7h,4h,2c,0
7h,5c,Ac,3h,8c,0
6c,2s,4d,6s,3c,1
3h,Th,9c,4d,7c,4
8h,Qs,As,3h,6d,0
4d,8s,9c,6h,9d,1
8s,7h,5c,Jh,Jc,1
Tc,9c,9d,5h,2s,1
7c,Qs,7d,8c,2s,1
Tc,Js,9c,6d,3s,0
5s,2c,2s,6d,Ad,1
4s,Ac,Tc,7h,4d,1
3c,Jc,4h,Kc,Jh,1
2s,Jh,Kc,8s,Kh,1
8s,4s,5s,9h,Ah,0
3c,Ah,8h,Kh,Ts,0
6h,3d,9c,8d,Tc,4
3c,9h,Jh,Js,2d,1
Qh,Ks,5h,As,Kc,1
4c,Kh,Jd,Ks,8s,1
3d,Tc,Qc,7h,9s,0
7c,Ad,7d,Qh,5s,1
2d,9s,Ad,8c,3h,0
Ah,Ad,9d,Tc,7c,1
Ac,Qs,Kh,3h,8s,0
As,7h,8h,Kc,Jd,0
7c,2s,5s,8s,4h,0
Jd,4s,Tc,6h,7c,0
Th,Qc,Ah,2c,7d,0
5c,8h,3c,6c,4s,0
Jc,8c,Ah,9d,2d,0
Jc,8d,8h,Jh,Ac,2
Tc,2d,Ks,2c,Ac,1
5h,3h,As,Tc,Kc,0
8s,5c,Kd,Jd,6h,0
3s,Th,3h,7d,Jd,1
6c,3s,4d,Ah,Ad,1
6d,3c,Jh,Ad,4s,0
Kc,Th,2c,Kd,2d,2
9c,8h,9h,Th,Ad,1
2h,Qc,Ad,Td,2d,1
As,Jd,9d,Th,3d,0
Ts,5h,3s,Ah,6d,0
4h,Th,2s,Tc,Ad,1
4s,9d,7s,Jc,2h,0
Js,Jc,7s,Kd,7c,2
2s,6c,As,9s,3s,0
Qh,8h,Qd,Jd,8d,2
Ah,Ad,5s,Jd,Qc,1
2d,Jc,5d,4h,Kc,0
Th,Ac,5c,7c,Qs,0
2c,3h,6c,8d,7h,0
Kc,5s,7h,6d,9c,0
9c,Ks,9s,7s,Qh,1
Tc,7s,Ts,Jh,4d,1
3h,Qs,Jh,4h,Kc,0
2d,9c,6c,Kc,7c,0
5s,9h,5c,Jc,Ks,1
8h,As,6h,Kd,Kh,1
5s,Tc,2s,Kc,Qd,0
7c,Jd,Qd,Th,Jc,1
4h,9s,4d,5c,Kd,1
7h,9d,6h,Jc,4h,0
6s,7c,9h,Qd,4s,0
2s,Qc,6s,Th,7d,0
3s,7d,Jh,Jc,6s,1
3d,Qh,6h,Qs,5c,1
6h,9h,Qh,3s,9c,1
Td,8d,3c,6c,6d,1
7c,2d,Jd,7d,2s,2
8h,7d,Kd,As,Jd,0
7c,Tc,4s,Kc,6d,0
Qs,6s,3c,2d,Ts,0
Js,Th,Kh,4c,Tc,1
9s,Th,7s,3c,2h,0
7d,7s,Kh,5c,8h,1
3s,Jh,Ah,5d,9d,0
6d,2c,As,3h,Ks,0
Js,2h,6h,9c,Kd,0
2c,4s,7s,Ad,Jc,0
9c,3c,5s,8s,Ac,0
Qc,9d,6d,4s,5d,0
4c,As,3c,Ah,Qs,1
5s,Kc,Qs,3h,4c,0
Td,5d,3s,Ad,5h,1
2c,8c,5d,5c,9d,1
Qd,Ad,6d,5d,Kh,0
3d,7d,3h,Ah,2d,1
6d,2d,2s,5s,4s,1
9s,Ad,7d,2c,Ts,0
Ks,3h,Th,3s,Jd,1
8h,3h,6h,Ac,8c,1
Kh,3s,8s,2s,6c,0
Qs,4h,Th,9c,Td,1
4s,Js,7s,Kd,3h,0
Kc,9c,Jh,Qs,Qc,1
6d,5d,4h,4c,Jh,1
Jh,5c,5d,7s,Qd,1
4c,3h,Ah,4s,Jc,1
As,Qs,4d,9h,8s,0
4c,Qd,Td,7s,3c,0
9c,2d,7d,4h,6h,0
Kh,Td,8d,7d,9d,0
3h,5h,5d,3d,Js,2
Ks,Kd,Js,9c,Qs,1
Qh,3s,5d,Kd,Tc,0
6s,9h,Kd,9s,4d,1
Td,3d,3h,5d,9c,1
Jh,Th,6s,Qd,5d,0
6d,2d,9d,Jh,5s,0
8d,Jd,3h,9c,2s,0
4c,3c,9s,2d,6d,0
2c,3s,5c,2d,3h,2
9h,2s,8h,9c,6s,1
6c,5h,Jh,6s,8c,1
Jd,4h,9s,7c,8s,0
2c,3s,Kh,Qc,Jc,0
5h,Ts,2h,Ks,8h,0
Qd,9c,4d,Jd,7c,0
Kd,7c,2d,Qs,5d,0
Th,Js,5s,7s,Ks,0
8c,7c,7d,3d,4s,1
Qs,Jh,Kh,6c,9d,0
5c,Kh,8h,Qc,4s,0
8d,5h,3c,Ah,2s,0
Ac,4h,4c,2c,Ad,2
7h,Js,4d,3h,8h,0
4h,Tc,Jd,2s,7d,0
5h,9s,Qd,Jh,6c,0
4c,Js,2c,6s,Ts,0
3c,Qc,7s,Qh,Kh,1
Td,Qh,Qs,6c,6d,2
Kd,Js,8h,Ad,Jd,1
Js,As,7s,Ts,Jd,1
8s,5d,6c,Ac,Qs,4
2c,Jh,2d,Ks,7s,1
Kd,6h,Ks,2d,7d,1
Qc,7h,Qh,2c,Td,1
Qc,6h,8h,4d,3h,0
3d,3c,7c,5s,Jc,1
9c,3d,8h,2s,6s,0
8h,Qd,7s,3d,7d,1
9h,Kd,Td,3s,Ts,1
Qd,9h,Ah,5c,4h,0
Ks,8h,3h,Kd,Tc,1
6c,8c,7s,Js,2s,0
Jh,8s,Td,8h,8c,3
9h,6d,Td,As,7d,0
Jc,6c,9h,5c,Kh,0
5d,9c,8s,Jh,2s,0
3h,4d,5h,Kc,Ks,1
2d,3d,Th,Jc,Kc,0
4d,9s,7c,Jd,7s,1
2d,8c,Js,Ah,4d,0
9d,4s,3s,4d,Ts,1
Qc,7s,2c,2s,Ah,1
Jc,Qc,5c,4h,8d,0
3d,6s,Qc,Jd,Td,0
Ac,9h,6c,8d,Kd,0
Jd,Qs,5c,3s,Js,1
Ac,6c,4d,7h,Th,0
6c,8h,4h,Qh,4c,1
Qh,7s,5s,5c,6c,1
4c,4s,Ks,Qs,9h,1
6h,Kd,4s,Jc,7h,0
Js,9h,5h,7c,3c,0
3h,Td,6c,Th,4d,1
5s,Ah,8d,Kd,5c,1
9h,3s,2h,Kc,Jd,0
Kd,2c,Qh,5d,Th,0
Qc,7h,7d,Jd,As,1
3h,5s,5d,Js,6d,1
7h,Ah,Kh,Qs,Ad,1
5c,3s,5s,Qc,Ks,1
4s,Ad,Jd,Kh,9s,0
7h,3d,Jd,Ks,Kd,1
Qh,9h,Kd,2d,3s,0
9s,Ad,Jc,6d,Ah,1
4d,2h,3d,8h,Jc,0
Qs,Jh,7d,8d,Qc,1
Qs,6d,Qd,9c,8s,1
5h,As,Qs,5d,7s,1
5h,Kc,7c,8s,Kd,1
6h,8s,Tc,2c,2d,1
Ac,7h,9d,Kd,Kc,1
Ac,8s,4s,Jd,As,1
3h,9s,5d,4s,2s,0
9c,5d,5c,8s,Qh,1
5h,9c,Qc,Ad,9h,1
Qh,9s,3d,8c,5h,0
7s,Js,3c,4d,Tc,0
4h,2d,Jh,8h,Ks,0
7d,6c,4h,Ts,As,0
8c,Qh,2c,7h,6d,0
4s,8c,7c,9d,2h,0
6h,Kh,Jc,9c,Jh,1
Kc,9h,7h,Ad,5h,0
9s,Jh,Js,Kd,Jd,3
Kc,4s,Ah,2s,Jh,0
Kc,8h,As,Ks,Kh,3
Kc,4d,Ad,2s,7c,0
5d,Tc,Ks,2s,6c,0
Kc,3s,2h,3d,Ks,2
6s,3d,3h,9d,Kd,1
3h,5d,5h,4d,Kc,1
3h,4d,8c,4c,Qs,1
Kc,4c,Qh,2s,8c,0
Qc,7c,5d,4d,9c,0
7c,6c,3c,Ah,7s,1
Jc,Qs,4c,Th,7s,0
4d,6h,Jd,5d,Ts,0
9c,7h,Ah,3h,Tc,0
Kc,8c,Qd,9s,Td,0
2d,3h,7h,8c,Td,0
4h,3c,Kc,2h,3h,1
2h,Th,6d,Jc,4c,0
Qh,Tc,8d,Ad,Qs,1
3h,Jd,Qc,Kd,Js,1
Kc,4h,9s,7h,Js,0
Qs,Qh,Ks,Ts,2d,1
4c,8c,8h,2d,4h,2
6c,6d,7s,4h,Ad,1
Qs,3d,Jc,7h,3h,1
3c,6s,7s,Js,7d,1
Qd,9c,5d,8d,Kh,0
Tc,3h,8d,9s,Ah,4
6h,Jh,4d,2s,Kh,0
Jh,9c,Ac,Qs,4h,0
6c,6h,9c,Ac,Jc,1
8c,9s,7s,Kc,As,0
2c,5s,4d,Ac,Tc,0
9d,Th,Qh,6d,5c,0
2s,3c,2d,Js,Qh,1
Ah,Th,2c,6d,9h,0
6c,Qd,As,Jh,9h,0
Jh,Ks,6c,7s,9c,0
9h,3d,Js,6c,Ac,0
Qc,Th,Kd,3c,3h,1
2h,Ac,Th,Kc,Jc,0
8s,Ad,4c,6s,6d,1
Jh,2h,9h,8d,3h,0
7c,3d,8c,3h,Qh,1
7d,9c,As,4d,Ac,1
Jc,Kd,Js,Tc,6s,1
6c,Th,Ts,As,5c,1
8s,9c,5c,9h,Jh,1
